page_url,category,title,item_url,final_url,http_status,content_type,is_pdf,note
https://liturgia.wiara.pl/Muzyka_w_liturgii/2,Pieśni na czas Adwentu,Spuśćcie nam,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/spusccie_nam.pdf,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/spusccie_nam.pdf,200,application/pdf,TAK,
https://liturgia.wiara.pl/Muzyka_w_liturgii/2,Pieśni na czas Adwentu,Stworzycielu gwiazd,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/stworzycielu_gwiazd.pdf,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/stworzycielu_gwiazd.pdf,200,application/pdf,TAK,
https://liturgia.wiara.pl/Muzyka_w_liturgii/2,Pieśni na czas Adwentu,Szukamy Ciebie,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/szukamy_ciebie.pdf,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/szukamy_ciebie.pdf,200,application/pdf,TAK,
https://liturgia.wiara.pl/Muzyka_w_liturgii/2,Pieśni na czas Adwentu,Śpiew międzylekcyjny 1,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/adwent_sml01.pdf,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/adwent_sml01.pdf,200,application/pdf,TAK,
https://liturgia.wiara.pl/Muzyka_w_liturgii/2,Pieśni na czas Adwentu,Śpiew międzylekcyjny 2,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/adwent_sml02.pdf,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/adwent_sml02.pdf,200,application/pdf,TAK,
https://liturgia.wiara.pl/Muzyka_w_liturgii/2,Pieśni na czas Adwentu,Śpiew międzylekcyjny 3,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/adwent_sml03.pdf,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/adwent_sml03.pdf,200,application/pdf,TAK,
https://liturgia.wiara.pl/Muzyka_w_liturgii/2,Pieśni na czas Adwentu,Urząd Zbawienia,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/urzad_zbawienia.pdf,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/urzad_zbawienia.pdf,200,application/pdf,TAK,
https://liturgia.wiara.pl/Muzyka_w_liturgii/2,Pieśni na czas Adwentu,Usłysz dobry Boże,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/uslysz_dobry_boze.pdf,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/uslysz_dobry_boze.pdf,200,application/pdf,TAK,
https://liturgia.wiara.pl/Muzyka_w_liturgii/2,Pieśni na czas Adwentu,Witaj Gwiazdo Morza,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/witaj_gwiazdo_morza.pdf,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/witaj_gwiazdo_morza.pdf,400,text/html,NIE,
https://liturgia.wiara.pl/Muzyka_w_liturgii/2,Pieśni na czas Adwentu,Witaj Gwiazdo Morska,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/witaj_gwiazdo_morska.pdf,https://liturgia.wiara.pl/files_upload/old/liturgia.wiara.pl/elementy/spiewnik_adwent/witaj_gwiazdo_morska.pdf,200,application/pdf,TAK,
